Workload,Timestamp,Average Throughput (ops/sec)
load a,0,0.0
load a,10,0.0
load a,20,0.0
load a,40,78584.2
load a,50,80102.1
load a,70,82673.1
load a,80,72032.8
load a,90,82757.7
load a,100,82626.9
load a,110,82405.1
load a,120,81700.7
load a,130,62319.1
load a,140,82636.5
load a,150,82663.6
load a,156,76477.56
a,0,0.0
a,10,0.0
a,20,0.0
a,30,0.0
a,40,0.0
a,50,0.0
a,60,62467.2
a,80,64912.6
a,90,65023.8
a,100,65002.8
a,110,65087.5
a,130,65057.3
a,140,65117.5
a,150,65210.3
a,160,65186.1
a,170,65185.7
a,180,65170.4
a,200,65205.5
a,204,57852.14
b,0,0.0
b,10,0.0
b,20,0.0
b,30,0.0
b,40,0.0
b,60,102100.1
b,70,105792.4
b,90,106011.6
b,100,106057.8
b,110,106061.8
b,120,106151.2
b,130,106209.1
b,140,106366.6
b,145,95665.42
c,0,0.0
c,10,0.0
c,20,0.0
c,30,0.0
c,40,0.0
c,50,13097.4
c,60,113176.4
c,70,115621.7
c,80,115989.8
c,100,115838.5
c,110,115884.9
c,120,116036.3
c,130,116034.8
c,135,106402.59
load e,0,0.0
load e,10,0.0
load e,20,0.0
load e,30,1462.7
load e,40,78724.7
load e,50,80559.2
load e,70,83066.6
load e,80,72420.1
load e,90,83102.1
load e,100,83002.5
load e,110,82730.5
load e,120,82049.9
load e,130,62595.8
load e,150,83081.1
load e,156,76011.13
f,0,0.0
f,10,0.0
f,20,0.0
f,30,0.0
f,40,0.0
f,50,6559.7
f,60,52260.2
f,70,53310.6
f,80,53361.7
f,90,53377.7
f,100,53328.2
f,110,53413.8
f,120,53385.2
f,130,53468.2
f,140,53414.7
f,150,53455.4
f,170,53431.8
f,180,53510.6
f,190,53466.6
f,200,53499.8
f,210,53481.7
f,220,53500.6
f,230,53495.1
f,236,49336.44
