Workload,Timestamp,Average Throughput (ops/sec)
load a,0,0.0
load a,10,48413.46
load a,20,64054.8
load a,30,66457.6
load a,40,57778.1
load a,50,56317.4
load a,60,57619.3
load a,70,56141.2
load a,80,56167.3
load a,90,59979.7
load a,100,38481.3
load a,110,55504.2
load a,120,35704.3
load a,130,52709.2
load a,140,21522.4
load a,150,58028.5
load a,160,28298.1
load a,170,58941.3
load a,180,27403.7
load a,190,57584.8
load a,200,17029.3
load a,205,50329.31
a,0,0.0
a,10,15515.95
a,20,27466.55
a,30,36510.3
a,40,38174.6
a,50,52375.56
a,60,41235.22
a,70,52093.5
a,80,40026.1
a,90,50370.1
a,100,44570.2
a,110,47175.9
a,120,50155.58
a,130,44236.52
a,140,50815.7
a,150,41068.5
a,160,45983.4
a,170,44749.5
a,180,51274.7
a,190,43152.3
a,200,53059.8
a,210,42793.1
a,220,52025.1
a,228,42146.55
b,0,0.0
b,10,36610.84
b,20,85610.4
b,30,85966.8
b,50,78500.35
b,60,76398.6
b,70,70959.2
b,80,70178.78
b,90,70018.4
b,100,66192.7
b,110,65094.6
b,120,64470.45
b,130,59365.1
b,140,86395.89499999999
c,0,0.0
c,10,46763.6
c,20,73922.7
c,30,75100.7
c,40,75683.1
c,50,75936.1
c,70,76517.6
c,80,76747.1
c,90,76715.1
c,120,77074.9
c,130,76968.8
c,135,76953.4
load e,0,0.0
load e,10,50553.9
load e,20,64839.2
load e,40,53863.3
load e,50,53941.4
load e,60,55956.3
load e,70,54028.1
load e,80,53457.6
load e,90,36311.84
load e,100,42094.22
load e,110,43765.55
load e,120,26178.32
load e,130,57552.56
load e,140,6004.8
load e,150,51155.5
load e,160,34868.7
load e,170,34608.8
load e,180,51651.63
load e,190,7390.64
load e,200,53417.8
load e,210,28107.04
load e,220,40746.85
load e,226,58312.94
f,0,0.0
f,10,9616.4
f,20,34790.5
f,30,34728.9
f,40,36956.9
f,50,45567.5
f,60,34853.5
f,70,44477.3
f,80,37540.2
f,90,41836.7
f,100,39750.4
f,110,42323.3
f,120,40350.2
f,130,42243.8
f,140,42769.4
f,150,36375.4
f,160,42380.7
f,170,33747.4
f,180,42897.5
f,190,37190.5
f,200,44444.9
f,210,37977.8
f,220,43991.9
