Loada,redis,pmemrocksdb,capybarakv
,7706.1,46405.87,64466.22
,8143.47,44396.1,60510.34
,7832.66,45371.43,61091.09
,7527.27,50361.34,61409.22
,7595.98,42921.4,61149.36
,7559.6,46384.56,61114.61
,7634.02,44420.16,60925.09
,7568.49,49456.96,61004.62
,7641.54,46710.2,61181.91
,7580.15,46693.84,61137.03

Runa,redis,pmemrocksdb,capybarakv
,20624.72,41257.02,48073.46
,22193.91,43810.84,48338.84
,20808.97,40398.82,48672.22
,21552.51,40174.52,48439.52
,20693.09,40732.04,50186.19
,20963.13,42868.96,49016.96
,20597.92,39846.99,49843.49
,20236.44,43994.72,48834.09
,20798.67,44701.73,48831.94
,20790.5,45140.0,48013.21

Runb,redis,pmemrocksdb,capybarakv
,20181.59,68177.94,67908.03
,21935.65,77050.51,68352.23
,20115.58,74798.79,68873.37
,20837.11,73879.8,68164.93
,20332.06,69354.86,67323.75
,20244.76,70652.4,68064.25
,19911.43,68448.14,66833.3
,20115.87,77216.5,68293.88
,20832.6,73437.61,68801.34
,20301.72,72977.25,68117.57

Runc,redis,pmemrocksdb,capybarakv
,20346.09,77433.54,72645.91
,21006.29,73624.15,72599.5
,20109.92,77759.89,73629.57
,20134.82,73906.01,73223.6
,20138.11,77920.46,72378.28
,20307.58,78409.23,72505.8
,20321.94,76954.45,73001.76
,20052.14,79621.0,72863.46
,20399.34,76355.11,71396.44
,20432.52,76047.94,71597.34

Loade,redis,pmemrocksdb,capybarakv
,7692.62,47906.49,61068.33
,7554.05,44703.53,60925.46
,7574.36,49960.78,60973.75
,7798.26,47743.41,60883.17
,7559.77,47305.93,61288.03
,7568.0,46820.21,61371.91
,7661.7,44243.87,60643.18
,7561.02,49110.61,61274.51
,7697.69,46887.16,61092.58
,7568.28,48615.43,60475.95

Runf,redis,pmemrocksdb,capybarakv
,14215.09,39512.89,41235.92
,13887.67,36105.51,41021.1
,13512.25,38999.13,40082.09
,13605.83,38765.25,41171.58
,13509.73,38813.1,41478.63
,13637.5,36784.45,41212.13
,13651.69,39487.76,42165.98
,13658.35,39132.05,41471.23
,13882.97,38907.33,41243.58
,13606.0,39634.26,41448.37

