Loada,redis,pmemrocksdb,capybarakv
,14067.06,68359.86,156944.81
,13863.43,70903.55,155263.43

Runa,redis,pmemrocksdb,capybarakv
,19971.24,41539.28,166385.66
,20021.3,40821.1,163048.8

Runb,redis,pmemrocksdb,capybarakv
,19534.3,82362.37,250296.18
,19586.87,81222.01,249687.89

Runc,redis,pmemrocksdb,capybarakv
,19606.13,100154.91,266141.48
,19563.47,102399.56,266699.86

Rund,redis,pmemrocksdb,capybarakv
,19648.27,128556.74,276421.27
,19363.18,127462.14,276212.57

Loade,redis,pmemrocksdb,capybarakv
,13851.12,69545.22,161049.61
,14020.05,69492.06,157252.48

Runf,redis,pmemrocksdb,capybarakv
,13362.1,37072.83,150625.09
,13316.5,37063.67,148356.21

Loadx,redis,pmemrocksdb,capybarakv
,18172.7,82976.08,179931.63
,18403.58,82738.08,179138.7

Runx,redis,pmemrocksdb,capybarakv
,18217.04,26336.17,132148.11
,18092.21,26176.5,140977.44

