Loada,redis,pmemrocksdb,capybarakv
,74928.82,141544.15,317299.15
,74730.22,138486.25,318295.63
,74848.43,138755.27,315537.04
,74392.95,140599.52,319788.51
,74463.49,139314.57,310661.92

Runa,redis,pmemrocksdb,capybarakv
,106315.87,62417.04,448229.49
,107895.82,63279.12,459713.75
,108110.45,63908.65,456079.54
,108695.65,63160.82,444958.62
,108332.19,63054.35,428204.4

Runb,redis,pmemrocksdb,capybarakv
,103332.83,300565.06,1762425.1
,103968.84,268259.53,1768450.84
,103931.38,276344.88,1781472.68
,105025.1,273797.57,1745810.06
,104750.8,302553.55,1760563.38

Runc,redis,pmemrocksdb,capybarakv
,103267.38,418982.71,2194586.69
,103233.98,410486.56,2201027.15
,102710.88,407110.87,2200704.23
,104606.89,409355.13,2202966.66
,104661.63,410172.27,2144695.45

Rund,redis,pmemrocksdb,capybarakv
,117380.08,817349.61,1922091.24
,117983.89,800213.39,1892028.25
,118070.26,799701.44,1896333.75
,119854.26,812391.68,1878051.83
,118913.61,820748.52,1884658.88

Loade,redis,pmemrocksdb,capybarakv
,74691.15,140069.1,314537.94
,74664.76,141153.89,320122.93
,74365.29,138827.19,310417.62
,74890.66,140238.03,308978.93
,74235.01,137990.67,316535.83

Runf,redis,pmemrocksdb,capybarakv
,73697.76,63232.71,801881.75
,75068.69,62577.7,813625.52
,74633.92,62100.49,805801.77
,74635.41,62746.54,799872.02
,74722.41,61831.7,801796.02

Loadx,redis,pmemrocksdb,capybarakv
,98226.68,148800.67,306861.42
,99170.93,152743.27,307301.48
,98256.92,150899.36,311022.64
,97220.78,149314.65,309718.98
,97687.41,148921.81,305442.99

Runx,redis,pmemrocksdb,capybarakv
,94013.83,45349.28,394684.91
,93627.11,44344.06,391583.56
,93672.14,44496.92,401434.46
,93225.03,43983.37,393432.3
,93213.44,44576.39,383670.96

