Loada,redis,pmemrocksdb,viper,capybarakv
,13701.02,68844.92,205436.68,175869.32
,13752.34,74377.76,207260.76,178789.81
,13778.83,72739.97,214970.55,173994.14
,13596.57,74745.57,213045.18,174072.89
,13658.43,74281.84,208825.81,174359.4

Runa,redis,pmemrocksdb,viper,capybarakv
,15790.29,35958.29,253979.86,251960.25
,15793.98,36318.26,257477.14,250090.03
,15798.59,36091.13,255487.88,249992.5
,16017.32,36221.54,255584.52,248153.74
,15859.49,36523.86,254590.26,251011.58

Runb,redis,pmemrocksdb,viper,capybarakv
,18441.03,82445.12,440901.56,414614.33
,18452.09,81244.01,435342.88,421862.61
,18563.14,81844.85,441205.02,418928.88
,18816.64,81916.72,443829.0,422432.88
,18770.04,81465.07,434170.99,424059.44

Runc,redis,pmemrocksdb,viper,capybarakv
,18880.91,102336.97,486722.22,457180.48
,19082.98,101965.9,487300.94,464011.28
,19005.81,103786.98,486438.11,470154.59
,19136.84,98994.61,485144.86,463503.72
,19303.1,102132.53,486069.26,460083.18

Rund,redis,pmemrocksdb,viper,capybarakv
,18784.92,125553.06,502199.63,453918.22
,18827.06,126407.55,508833.35,447715.75
,18848.27,126297.07,503494.25,443356.74
,19002.53,125938.87,502957.39,442940.42
,19179.66,125817.18,503656.55,453226.98

Loade,redis,pmemrocksdb,viper,capybarakv
,13779.84,69504.49,212592.27,179260.3
,13700.07,74145.03,213476.33,175281.15
,13803.13,76704.53,212952.63,176493.84
,13659.84,70939.9,214570.17,175842.11
,13787.76,69502.36,213063.34,177214.47

Runf,redis,pmemrocksdb,viper,capybarakv
,11236.78,33060.12,213536.51,192727.24
,11287.21,33396.43,219579.46,194884.67
,11260.52,33232.75,218087.29,212155.67
,11301.93,33429.16,218378.76,192938.45
,11345.5,33450.32,220419.68,195433.12

Loadx,redis,pmemrocksdb,viper,capybarakv
,17982.16,84871.78,256362.93,203485.3
,17966.83,86457.32,254494.37,200136.09
,17823.16,84838.08,259467.99,200845.16
,17903.6,84719.34,257175.19,203473.7
,17846.75,86233.66,255115.06,200971.09

Runx,redis,pmemrocksdb,viper,capybarakv
,17938.92,23042.88,227064.24,223064.91
,17917.32,23242.63,221694.1,224142.88
,17979.61,22944.2,224028.39,226019.35
,17779.11,22890.13,222125.47,219772.49
,17856.56,23214.31,226845.84,224066.54

