Loada,redis,pmemrocksdb,capybarakv
,12073.91,68359.86,156944.81
,12102.37,70903.55,155263.43
,12425.05,69727.55,156378.69
,11868.96,63387.96,157415.86
,12373.76,71559.76,156079.29

Runa,redis,pmemrocksdb,capybarakv
,17495.91,41539.28,166385.66
,17597.45,40821.1,163048.8
,17776.81,40598.26,170249.47
,17260.6,43064.1,170788.36
,17269.81,41323.68,164836.98

Runb,redis,pmemrocksdb,capybarakv
,18863.99,82362.37,250296.18
,18769.66,81222.01,249687.89
,19147.77,83508.7,250551.21
,18623.08,82070.36,255123.74
,19487.18,81934.53,250271.13

Runc,redis,pmemrocksdb,capybarakv
,19451.59,100154.91,266141.48
,19120.29,102399.56,266699.86
,19419.01,98902.19,271213.41
,19447.11,100464.14,270075.62
,19090.82,101496.74,268139.65

Rund,redis,pmemrocksdb,capybarakv
,18940.54,128556.74,276421.27
,18769.54,127462.14,276212.57
,19373.19,127661.75,275411.28
,18511.94,127876.15,276365.24
,18754.17,127710.66,280295.24

Loade,redis,pmemrocksdb,capybarakv
,12405.5,69545.22,161049.61
,12121.45,69492.06,157252.48
,11950.26,69274.79,160472.43
,12058.27,69480.15,159606.73
,11735.33,68135.98,153543.79

Runf,redis,pmemrocksdb,capybarakv
,11962.12,37072.83,150625.09
,11924.33,37063.67,148356.21
,12014.69,36882.4,152468.46
,12137.22,37080.62,149593.11
,11911.16,38652.22,151536.58

Loadx,redis,pmemrocksdb,capybarakv
,15909.73,82976.08,179931.63
,15918.65,82738.08,179138.7
,15809.79,82829.0,177263.06
,15481.79,82849.58,176070.8
,15932.8,83000.87,178104.96

Runx,redis,pmemrocksdb,capybarakv
,14841.89,26336.17,132148.11
,14973.05,26176.5,140977.44
,14964.95,26444.25,147616.0
,15041.82,26227.95,141680.52
,14957.04,26429.99,143619.01

