Loada,capybarakv_no_flush,capybarakv
,64081.2,59545.08
,60788.43,59511.77
,64089.42,59278.23
,64418.05,59806.47
,63319.99,59768.93
,61415.25,59502.91
,63902.26,58933.77
,64282.64,59372.2
,63828.84,59257.15

Runa,capybarakv_no_flush,capybarakv
,50150.45,48360.11
,50401.45,48090.56
,51000.63,47961.86
,50531.34,49984.01
,48866.54,48493.08
,50325.1,49181.86
,50387.48,47753.9
,49021.29,48315.01
,50413.9,47708.1

Runb,capybarakv_no_flush,capybarakv
,69599.11,68251.47
,69475.32,68273.37
,67807.18,67577.61
,67153.3,67269.85
,68366.25,67857.8
,67871.61,67365.02
,69139.08,67834.32
,68448.14,68100.41
,69278.46,67959.71

Runc,capybarakv_no_flush,capybarakv
,71879.87,72814.65
,71753.51,72961.28
,73093.0,72057.53
,73733.81,72282.02
,73572.69,72949.57
,72564.2,72578.95
,71988.02,72667.03
,73355.73,72704.54
,73991.31,72007.2

Loade,capybarakv_no_flush,capybarakv
,64016.8,59260.31
,63583.7,63783.24
,64295.04,59653.77
,63303.96,59319.02
,64142.45,59145.0
,60921.75,59139.05
,64285.94,59783.58
,64397.31,59048.61
,63660.21,59476.72

Runf,capybarakv_no_flush,capybarakv
,42555.18,41293.99
,42524.42,40894.28
,42407.74,40933.11
,42323.38,40066.83
,40515.52,40682.16
,42319.09,40985.62
,42162.07,42056.74
,42523.88,40738.18
,42734.49,40999.74

