KV_Store,Workload,Mean,Std_Dev
capybarakv,rand_delete,2.28718,8.350800057166518
capybarakv,rand_get,0.3434612,0.4881074182434952
capybarakv,rand_put,2.2621678,54.154185341299346
capybarakv,rand_update,2.8704482,10.70460900027869
capybarakv,sequential_delete,2.1087198,7.330773912291743
capybarakv,sequential_get,0.001211,0.05300126452101693
capybarakv,sequential_put,2.2812472,54.20758924823201
capybarakv,sequential_update,2.2128158,10.006818358626937
pmemrocksdb,rand_delete,4.9095154,3.887683649678774
pmemrocksdb,rand_get,0.029643,0.2243156316766634
pmemrocksdb,rand_put,4.096847,1.8089225282004597
pmemrocksdb,rand_update,4.7351794,3.595454023523812
pmemrocksdb,sequential_delete,3.8226586,3.4024688306000495
pmemrocksdb,sequential_get,0.8691942,0.7618150423552896
pmemrocksdb,sequential_put,3.2866188,1.7942533565122796
pmemrocksdb,sequential_update,3.4424432,3.1096377198546956
redis,rand_delete,79.2227136,15.069371097347231
redis,rand_get,40.283128,4.926446284045996
redis,rand_put,82.3886282,21.000262410845465
redis,rand_update,39.2402076,4.530623269949918
redis,sequential_delete,73.3502684,15.584847147965666
redis,sequential_get,38.3686846,7.283320401786129
redis,sequential_put,79.2382516,22.79835463642261
redis,sequential_update,37.4420694,5.487657429947723
