| file                     | Trusted | Spec | Proof | Exec | Proof+Exec | Comment | Layout | unaccounted | Trusted+Definitions | Directives | Definitions |
|--------------------------|---------|------|-------|------|------------|---------|--------|-------------|---------------------|------------|-------------|
| lib.rs                   |       0 |    0 |     0 |    3 |          0 |      16 |      0 |          47 |                   0 |          1 |           0 |
| common/mod.rs            |       0 |    0 |     0 |    0 |          0 |       0 |      0 |           6 |                   0 |          0 |           0 |
| common/align_v.rs        |       0 |  107 |    22 |   65 |          2 |      32 |      2 |          29 |                   0 |          5 |           0 |
| common/recover_v.rs      |       0 |   99 |     4 |   49 |          2 |      17 |      3 |          22 |                   0 |          0 |           0 |
| common/saturate_v.rs     |       0 |   47 |    56 |   70 |          1 |      30 |      2 |          40 |                   0 |          8 |           0 |
| common/subrange_v.rs     |       0 |  137 |   148 |    0 |          0 |      62 |      1 |          51 |                   0 |          0 |           0 |
| common/table_v.rs        |       0 |   89 |    84 |   18 |          0 |      42 |      5 |          44 |                   0 |          0 |           0 |
| common/util_v.rs         |       0 |  112 |   211 |   15 |          0 |      64 |     12 |          32 |                   0 |          1 |           0 |
| journal/mod.rs           |       0 |    0 |     0 |    0 |          0 |       0 |      0 |          16 |                   0 |          0 |           0 |
| journal/commit_v.rs      |       0 |  245 |   245 |   89 |         29 |       4 |     28 |          33 |                   0 |          6 |           0 |
| journal/entry_v.rs       |       0 |  275 |   317 |   36 |          0 |       3 |      8 |          75 |                   0 |          5 |           0 |
| journal/impl_v.rs        |       0 |   79 |    11 |   37 |          1 |       0 |      0 |          38 |                   0 |          0 |           0 |
| journal/inv_v.rs         |       0 |   40 |     0 |    5 |          0 |       0 |      0 |          23 |                   0 |          0 |           0 |
| journal/recover_v.rs     |       0 |  246 |    30 |   25 |          0 |       4 |      3 |          59 |                   0 |          0 |           0 |
| journal/setup_v.rs       |       0 |  119 |    18 |  115 |          0 |       5 |     14 |          34 |                   0 |          0 |           0 |
| journal/spec_v.rs        |       0 |   70 |    23 |   39 |          0 |       0 |      0 |          27 |                   0 |          0 |           0 |
| journal/start_v.rs       |       0 |  163 |   139 |  119 |         23 |       0 |     14 |          37 |                   0 |          0 |           0 |
| journal/write_v.rs       |       0 |   73 |    49 |   54 |          8 |       5 |     11 |          27 |                   0 |          3 |           0 |
| kv2/mod.rs               |       0 |    0 |     0 |    0 |          0 |       0 |      0 |          21 |                   0 |          0 |           0 |
| kv2/abort_v.rs           |       0 |   15 |     5 |   10 |          8 |      10 |      5 |          26 |                   0 |          0 |           0 |
| kv2/commit_v.rs          |       0 |   13 |    13 |    8 |          8 |       0 |      7 |          27 |                   0 |          0 |           0 |
| kv2/concurrentspec_t.rs  |       0 |  410 |    40 |  118 |          0 |       0 |      0 |         225 |                   0 |          0 |           4 |
| kv2/crud_v.rs            |       0 |  106 |    59 |  105 |         28 |       6 |     35 |          30 |                   0 |          0 |           0 |
| kv2/elements_v.rs        |       0 |  314 |   155 |  338 |         81 |       0 |     84 |          37 |                   0 |          4 |           0 |
| kv2/impl_t.rs            |     652 |    0 |    20 |    0 |          0 |       9 |      1 |          79 |                   0 |          0 |           0 |
| kv2/impl_v.rs            |       0 |   74 |     7 |   26 |          0 |       0 |      0 |          50 |                   0 |          0 |           0 |
| kv2/inv_v.rs             |       0 |  103 |    10 |    0 |          0 |       0 |      0 |          37 |                   0 |          0 |           0 |
| kv2/items/mod.rs         |       0 |    0 |     0 |    0 |          0 |       0 |      0 |          12 |                   0 |          0 |           0 |
| kv2/items/abort_v.rs     |       0 |   11 |    19 |   13 |          4 |       0 |      4 |          28 |                   0 |          0 |           0 |
| kv2/items/commit_v.rs    |       0 |   11 |    19 |   13 |          3 |       0 |      4 |          28 |                   0 |          0 |           0 |
| kv2/items/crud_v.rs      |       0 |   96 |    83 |   34 |          6 |       0 |      7 |          34 |                   0 |          0 |           0 |
| kv2/items/impl_v.rs      |       0 |   93 |     5 |   32 |          0 |       1 |      0 |          48 |                   0 |          2 |           0 |
| kv2/items/inv_v.rs       |       0 |  174 |    45 |   25 |          0 |       0 |      5 |          45 |                   0 |          0 |           0 |
| kv2/items/recover_v.rs   |       0 |   67 |    31 |    0 |          0 |       0 |      1 |          31 |                   0 |          0 |           0 |
| kv2/items/setup_v.rs     |       0 |   39 |     8 |   56 |          0 |       0 |      8 |          32 |                   0 |          0 |           0 |
| kv2/items/spec_v.rs      |       0 |   12 |     0 |   13 |          0 |       0 |      0 |          20 |                   0 |          0 |           0 |
| kv2/items/start_v.rs     |       0 |   26 |    63 |   27 |          5 |       3 |     10 |          27 |                   0 |          0 |           0 |
| kv2/keys/mod.rs          |       0 |    0 |     0 |    0 |          0 |       0 |      0 |          14 |                   0 |          0 |           0 |
| kv2/keys/abort_v.rs      |       0 |   31 |    15 |   36 |         12 |       2 |      5 |          30 |                   0 |          0 |           0 |
| kv2/keys/commit_v.rs     |       0 |   11 |     6 |   10 |          3 |       2 |      5 |          27 |                   0 |          0 |           0 |
| kv2/keys/crud_v.rs       |       0 |  291 |   156 |  162 |         30 |       4 |     36 |          45 |                   0 |          3 |           0 |
| kv2/keys/impl_v.rs       |       0 |  105 |     5 |   37 |          0 |       1 |      0 |          51 |                   0 |          2 |           0 |
| kv2/keys/inv_v.rs        |       0 |  558 |    92 |   39 |          0 |       0 |      8 |          88 |                   0 |          0 |           0 |
| kv2/keys/recover_v.rs    |       0 |  125 |    34 |   11 |          0 |       0 |      0 |          43 |                   0 |          0 |           0 |
| kv2/keys/setup_v.rs      |       0 |   39 |    42 |   82 |          0 |       0 |     13 |          34 |                   0 |          0 |           0 |
