| file                     | Trusted | Spec | Proof | Exec | Proof+Exec | Comment | Layout | unaccounted | Trusted+Definitions | Directives | Definitions |
| kv2/keys/spec_v.rs       |       0 |  102 |     9 |   25 |          0 |       0 |      0 |          32 |                   0 |          0 |           0 |
| kv2/keys/start_v.rs      |       0 |   30 |   104 |   55 |          5 |       1 |     13 |          35 |                   0 |          0 |           0 |
| kv2/lists/mod.rs         |       0 |    0 |     0 |    0 |          0 |       0 |      0 |          19 |                   0 |          0 |           0 |
| kv2/lists/abort_v.rs     |       0 |  137 |    26 |  101 |          7 |       0 |     13 |          41 |                   0 |          0 |           0 |
| kv2/lists/append_v.rs    |       0 |  529 |   206 |  204 |         30 |       9 |     63 |          73 |                   0 |          3 |           0 |
| kv2/lists/commit_v.rs    |       0 |   85 |    27 |   59 |          6 |       0 |      7 |          46 |                   0 |          0 |           0 |
| kv2/lists/delete_v.rs    |       0 |  154 |    93 |   97 |          6 |       0 |     23 |          51 |                   0 |          0 |           0 |
| kv2/lists/impl_v.rs      |       0 |   94 |     8 |   37 |          0 |       1 |      0 |          49 |                   0 |          2 |           0 |
| kv2/lists/inv_v.rs       |       0 |  316 |    15 |   73 |          0 |       0 |      1 |          79 |                   0 |          0 |           0 |
| kv2/lists/read_v.rs      |       0 |   52 |    72 |  118 |          1 |       4 |     22 |          33 |                   0 |          0 |           0 |
| kv2/lists/recover_v.rs   |       0 |  133 |    92 |   19 |          0 |       0 |      0 |          46 |                   0 |          0 |           0 |
| kv2/lists/setup_v.rs     |       0 |   39 |    15 |   59 |          0 |       0 |     10 |          32 |                   0 |          0 |           0 |
| kv2/lists/slots_v.rs     |       0 |   38 |   143 |    0 |          0 |       0 |      8 |          23 |                   0 |          0 |           0 |
| kv2/lists/spec_v.rs      |       0 |   33 |     0 |   14 |          0 |       0 |      0 |          22 |                   0 |          0 |           0 |
| kv2/lists/start_v.rs     |       0 |  120 |    64 |  161 |         14 |       0 |     20 |          34 |                   0 |          0 |           0 |
| kv2/lists/trim_v.rs      |       0 |  454 |   140 |  334 |         15 |       0 |     33 |          75 |                   0 |          4 |           0 |
| kv2/lists/update_v.rs    |       0 |  547 |   253 |  282 |         25 |       4 |     67 |          56 |                   0 |          0 |           0 |
| kv2/lists/util_v.rs      |       0 |  121 |   122 |   15 |          0 |       0 |      5 |          43 |                   0 |          0 |           0 |
| kv2/recover_v.rs         |       0 |  220 |    13 |   35 |          0 |       4 |      0 |          48 |                   0 |          2 |           0 |
| kv2/rwkv_v.rs            |       0 |  208 |   192 |  265 |         52 |       0 |      0 |          73 |                   0 |          0 |           0 |
| kv2/setup_v.rs           |       0 |   39 |    34 |  122 |          0 |       0 |     15 |          39 |                   0 |          1 |           0 |
| kv2/slots_v.rs           |       0 |   56 |   156 |    0 |          0 |       0 |     18 |          30 |                   0 |          0 |           0 |
| kv2/spec_t.rs            |     387 |    0 |     0 |    0 |          0 |      10 |      3 |          66 |                   0 |          0 |           0 |
| kv2/start_v.rs           |       0 |   30 |    48 |   55 |          9 |       0 |     15 |          33 |                   0 |          0 |           0 |
| kv2/util_v.rs            |       0 |  113 |   269 |    0 |          0 |       0 |     11 |          39 |                   0 |          0 |           0 |
| pmem/mod.rs              |       0 |    0 |     0 |    0 |          0 |       1 |      0 |          19 |                   0 |          0 |           0 |
| pmem/linux_pmemfile_t.rs |     155 |    0 |     3 |    0 |          0 |      57 |     11 |         153 |                   0 |          0 |           0 |
| pmem/mmap_pmemfile_t.rs  |     109 |    0 |     3 |    0 |          0 |      12 |      7 |         125 |                   0 |          0 |           0 |
| pmem/crc_t.rs            |      55 |    0 |     0 |    0 |          0 |      27 |      0 |          24 |                   0 |          0 |           0 |
| pmem/hamming_t.rs        |      31 |    0 |     0 |    0 |          0 |      16 |      0 |          14 |                   0 |          0 |           0 |
| pmem/hamming_v.rs        |       0 |  153 |   222 |    3 |          0 |      20 |     13 |          45 |                   0 |          1 |           0 |
| pmem/pmemmock_t.rs       |      74 |    0 |     3 |    0 |          0 |      21 |      4 |          30 |                   0 |          0 |           0 |
| pmem/pmemspec_t.rs       |     345 |    0 |     0 |    0 |          0 |     116 |     11 |          62 |                   0 |          0 |           0 |
| pmem/pmemutil_v.rs       |       0 |  207 |   215 |   50 |         14 |     145 |     15 |          40 |                   0 |          0 |           0 |
| pmem/pmcopy_t.rs         |     217 |    0 |     0 |    0 |          0 |     195 |      6 |         100 |                   0 |          0 |           0 |
| pmem/power_t.rs          |     106 |    0 |     1 |    0 |          0 |       4 |      3 |          26 |                   0 |          0 |           0 |
| pmem/power_sound_t.rs    |     168 |    0 |    26 |    0 |          0 |      86 |     27 |          58 |                   0 |          0 |           0 |
| pmem/power_v.rs          |     216 |    0 |     1 |    0 |          0 |      16 |      4 |          65 |                   1 |          0 |           0 |
| pmem/traits_t.rs         |      27 |    0 |     0 |    0 |          0 |      59 |      1 |          66 |                   3 |          0 |           0 |
| pmem/frac_v.rs           |       0 |  117 |   102 |   11 |          0 |       5 |      4 |          39 |                   0 |          0 |           0 |
| testkv_v.rs              |       0 |   87 |   109 |  262 |          4 |     362 |     58 |         150 |                   0 |          4 |           0 |
|--------------------------|---------|------|-------|------|------------|---------|--------|-------------|---------------------|------------|-------------|
| total                    |    2542 | 8839 |  5075 | 4390 |        442 |    1497 |    852 |        3942 |                   4 |         57 |           4 |
