Loada,redis,pmemrocksdb,viper,capybarakv
,75626.03,76242.06,403544.74,386697.6
,75101.69,78564.22,404759.98,383382.66
,75261.99,78065.48,402284.98,383270.99
,75451.88,77133.59,403453.56,382871.85
,75379.76,78251.18,404950.11,384941.1

Runa,redis,pmemrocksdb,viper,capybarakv
,83422.87,67910.42,594898.15,586716.73
,83796.73,66207.98,595833.93,592473.22
,83054.27,64522.96,593387.29,597328.75
,82552.39,66501.21,595890.74,586524.02
,83560.9,67020.54,596630.23,590332.71

Runb,redis,pmemrocksdb,viper,capybarakv
,103909.06,267820.8,1773804.46,2619995.81
,104428.61,244752.51,1765786.13,2631025.05
,103289.99,275388.02,1768534.24,2622469.32
,103557.4,250067.52,1763295.25,2596593.27
,104422.5,280347.63,1782785.42,2619721.26

Runc,redis,pmemrocksdb,viper,capybarakv
,108801.14,359097.37,2384813.51,3432651.38
,108679.59,430425.95,1803621.67,3458292.99
,107341.29,475547.36,2388687.18,3441156.23
,107487.12,430559.38,2397621.56,3474635.16
,109237.09,380002.74,2375522.61,3561253.56

Rund,redis,pmemrocksdb,viper,capybarakv
,117016.55,850455.84,2241348.4,2698327.04
,117576.24,768568.62,2226774.74,2706799.48
,116241.76,811398.53,2218278.62,2638243.98
,116464.33,804324.05,2236936.29,2640194.32
,117168.46,861356.12,2229356.16,2640752.09

Loade,redis,pmemrocksdb,viper,capybarakv
,75784.67,76990.59,402641.33,380714.53
,75006.83,78668.06,403167.28,383476.75
,75683.04,78405.05,403688.09,385350.51
,75034.97,76785.34,402246.14,380378.55
,75562.49,77981.47,405357.2,381918.45

Runf,redis,pmemrocksdb,viper,capybarakv
,64479.19,67660.65,558634.25,670277.23
,65097.05,65576.87,555592.6,674199.72
,64788.16,65912.28,556792.87,662444.69
,64214.36,67442.89,552803.82,704165.85
,64501.98,67960.82,557525.48,692405.69

Loadx,redis,pmemrocksdb,viper,capybarakv
,97316.78,81307.16,416361.34,391481.37
,98005.01,82285.29,417703.96,384343.39
,98172.81,82173.86,418011.27,388838.77
,97457.15,82331.9,419174.73,390918.19
,98054.21,81961.3,419512.36,392655.77

Runx,redis,pmemrocksdb,viper,capybarakv
,93694.37,43460.8,410765.34,557873.83
,93608.77,45005.63,411536.18,564397.79
,93866.75,45539.25,409279.18,568776.45
,93857.94,45314.98,409829.35,554889.69
,94234.36,45101.12,411319.51,564844.1

