Loada,redis,pmemrocksdb,capybarakv
,8142.37,66218.15,93534.87
,8190.22,66644.45,91523.13
,8290.79,67392.71,91357.57
,8178.37,66303.32,91513.08
,8102.32,66747.65,90693.08

Runa,redis,pmemrocksdb,capybarakv
,20274.76,50390.53,101750.1
,20249.56,50678.07,99932.05
,21495.39,50648.3,99796.42
,20364.19,50899.91,101634.28
,20924.0,50536.7,99784.47

Runb,redis,pmemrocksdb,capybarakv
,19096.87,92747.17,127873.97
,19914.84,93608.42,128912.49
,24505.24,93245.31,127255.61
,20045.3,92558.31,127184.39
,21980.82,93177.54,127508.73

Runc,redis,pmemrocksdb,capybarakv
,19817.76,108152.54,134956.41
,19877.32,113809.66,133272.92
,19949.65,111729.35,132453.84
,19671.41,110746.88,134506.23
,19212.96,110847.54,134854.49

Rund,redis,pmemrocksdb,capybarakv
,18378.84,154297.18,136945.03
,19017.12,154421.08,134491.76
,19364.01,151883.35,134763.62
,18485.18,153860.36,132809.18
,18407.6,155855.49,133815.07

Loade,redis,pmemrocksdb,capybarakv
,8137.68,67135.72,91852.67
,8208.19,67024.13,89976.61
,8202.22,67572.13,91926.97
,8210.03,67114.99,91694.33
,8254.04,67249.5,90309.76

Runf,redis,pmemrocksdb,capybarakv
,13365.34,46223.11,92566.88
,13446.79,46166.77,92377.05
,13459.31,46142.06,91583.48
,13494.55,46321.6,92568.59
,13183.46,46126.74,92864.31

Loadx,redis,pmemrocksdb,capybarakv
,9784.33,71475.54,98595.99
,9681.52,71768.96,97333.07
,9628.1,71876.26,98054.6
,9604.17,71337.87,98730.33
,9827.39,71979.73,97359.61

Runx,redis,pmemrocksdb,capybarakv
,18197.3,33603.51,89097.97
,19019.07,33439.45,88873.09
,18604.17,33537.24,88384.51
,18426.73,33397.68,89066.23
,18138.09,33648.73,89304.85

