singleton append,
element size,us elapsed,
8,2863049,
16,2814376,
32,2815218,
64,2858197,
128,2842986,
256,2856862,
512,2988516,
1024,3046840,

block append,
element size,block_size,us elapsed,
8,8,489960,
16,8,489942,
32,8,492969,
64,8,513137,
128,8,506571,
256,8,537990,
512,8,589733,
1024,8,694221,

8,2,883802,
16,2,889671,
32,2,893204,
64,2,904072,
128,2,947926,
256,2,959556,
512,2,986247,
1024,2,1097516,

8,16,279268,
16,16,279508,
32,16,286656,
64,16,305509,
128,16,313291,
256,16,348654,
512,16,396984,
1024,16,505614,

singleton read,
element size,us elapsed,
8,33804,
16,34513,
32,37714,
64,46991,
128,45277,
256,56959,
512,199584,
1024,335312,

block read,
element size,block_size,us elapsed,
8,8,12071,
16,8,13770,
32,8,17456,
64,8,26381,
128,8,30652,
256,8,46599,
512,8,79791,
1024,8,375281,

8,2,17414,
16,2,17068,
32,2,20877,
64,2,29694,
128,2,29049,
256,2,39660,
512,2,94186,
1024,2,385467,

8,16,11587,
16,16,12281,
32,16,15963,
64,16,27191,
128,16,30737,
256,16,43108,
512,16,82273,
1024,16,376577,

singleton trim,
element size,trim_size,us elapsed,
8,1,4726444,
16,1,4727363,
32,1,4724959,
64,1,4708633,
128,1,4739222,
256,1,4707850,
512,1,4714330,
1024,1,4705629,

block trim,
element size,block_size,trim_size,us elapsed,
8,8,1,544067,
16,8,1,542510,
32,8,1,543293,
64,8,1,543108,
128,8,1,543166,
256,8,1,542377,
512,8,1,542232,
1024,8,1,544726,

8,2,1,1999439,
16,2,1,1998595,
32,2,1,2033710,
64,2,1,1995858,
128,2,1,2003431,
256,2,1,2035745,
512,2,1,2029767,
1024,2,1,2006463,

8,16,1,297698,
16,16,1,298530,
32,16,1,297501,
64,16,1,297634,
128,16,1,296926,
256,16,1,298201,
512,16,1,295536,
1024,16,1,308992,

